"id","total_count","plus_one","minus_one","laugh","hooray","confused","heart","rocket","eyes","comment_id"
"49535","0","0","0","0","0","0","0","0","0","327807741"
"49536","0","0","0","0","0","0","0","0","0","327751995"
"49537","0","0","0","0","0","0","0","0","0","327753959"
"49538","0","0","0","0","0","0","0","0","0","328852772"
"49539","0","0","0","0","0","0","0","0","0","329795848"
"49540","0","0","0","0","0","0","0","0","0","421775460"
"49541","0","0","0","0","0","0","0","0","0","505378473"
"49542","0","0","0","0","0","0","0","0","0","327570859"
"49543","0","0","0","0","0","0","0","0","0","327550248"
"49544","0","0","0","0","0","0","0","0","0","327554540"
"49545","0","0","0","0","0","0","0","0","0","328455830"
"49546","0","0","0","0","0","0","0","0","0","349010237"
"49547","0","0","0","0","0","0","0","0","0","458838158"
"49548","0","0","0","0","0","0","0","0","0","458845760"
"49549","0","0","0","0","0","0","0","0","0","459560514"
"49550","0","0","0","0","0","0","0","0","0","598111654"
"49551","0","0","0","0","0","0","0","0","0","336709987"
"49552","0","0","0","0","0","0","0","0","0","361363407"
"49553","0","0","0","0","0","0","0","0","0","327467777"
"49554","0","0","0","0","0","0","0","0","0","327471843"
"49555","0","0","0","0","0","0","0","0","0","327497860"
"49556","0","0","0","0","0","0","0","0","0","327930141"
"49557","0","0","0","0","0","0","0","0","0","328021340"
"49558","0","0","0","0","0","0","0","0","0","328492264"
"49559","0","0","0","0","0","0","0","0","0","349541324"
"49560","1","1","0","0","0","0","0","0","0","349963862"
"49561","0","0","0","0","0","0","0","0","0","445469218"
"49562","0","0","0","0","0","0","0","0","0","327434954"
"49563","0","0","0","0","0","0","0","0","0","327443505"
